브랜드명,상품명,할인전 가격,할인후 가격,할인율(%),reasonable_choice,평점,super_discount
데이,3/19배송[ONLYOUTLET]시그니처라운드니트(10COLOR),65900,19400,71,True,98.2,True
미니멀코드,소프트필링세미오버라운드니트초코브라운,59000,33000,45,True,96.2,True
맨인스토어,3/22배송꽈배기후드반집업니트_Gray,139900,39900,72,True,96.5,True
언리미트,소프트니트(U23DTNT161),69000,16900,76,True,100.0,True
키뮤어,[2-PACK](하프집업+크루넥선택)코튼워셔블하찌니트,128000,43500,67,True,96.4,True
어게인스트올오즈,오버핏하찌니트-8COLOR[ONEORTWO],129500,19800,85,True,100.0,True
예일,HERITAGEDANCABLEKNITHOODIEZIP-UPIVORY,79000,55300,30,False,96.0,False
로열클럽홀리데이,로고반집업니트맨투맨네이비,89000,59800,33,False,96.3,False
디미트리블랙,2WAY헤비웨이트케이블니트후드집업_오트밀,66000,49900,25,False,100.0,False
블랙엔드,3/28배송BRANCHLOGOKNIT-KHAKI,79000,55300,30,False,98.0,False
어반디타입,컬러블록래글런니트_버건디_KN124,59000,42900,28,True,98.1,False
수아레,데일리라운드니트-8COLOR,59000,35900,40,True,98.8,False
굿라이프웍스,카라케이블니트집업블랙,74800,59800,21,False,92.5,False
유앤엘씨,소프트터치케이블니트[5color],58000,29000,50,True,97.7,True
데이,[ONLYOUTLET]ONLYONE하찌니트(9COLOR),49900,19900,61,True,100.0,True
어반디타입,UB베이직니트후드집업_그레이_KN122,69000,41900,40,True,99.0,False
나이스고스트클럽,쓰리스타즈로고니트후디_아이보리(NG2DFUK610A),89000,71200,20,False,98.0,False
슈퍼서브,4/2배송THUNDER브러쉬드니트-핑크,74000,66000,11,False,100.0,False
디스이즈네버댓,ChainZipUpPoloBrown,129000,64500,50,False,97.9,True
수아레,3/29배송[리뉴얼]하찌카라투웨이집업니트-4COLOR,79000,49900,37,False,97.5,False
키뮤어,코튼워셔블하찌벌키크루넥니트,59000,39900,33,True,97.0,False
프라이,T.G.I.F자카드니트(LIGHTGREY),73000,73000,0,False,100.0,False
윗,베이직카라니트집업-블랙,79000,39500,50,True,97.5,True
구빈,웨이브로고니트후드-카키,59500,53550,10,False,92.0,False
프라이,코튼블렌디드슬로건니트(LIGHTGREY),69000,69000,0,False,95.0,False
베테제,[베테제X소라노]토마토니트(2color),138000,52000,63,False,96.6,True
디미트리블랙,크롭헤어리라운드니트_핑크,55000,39900,28,True,95.2,False
블론드나인,크루넥리브니트스웨터_블랙,65600,29800,55,True,96.0,True
노매뉴얼,CROPPEDHAIRYKNIT-GRASSGREEN,109000,79570,27,False,100.0,False
어게인스트올오즈,[2PACK]릴렉스핏하프집업니트,152500,39800,74,True,94.7,True
