브랜드명,상품명,할인전 가격,할인후 가격,할인율(%),super_sale,rating,super_discount
칙스,HOFE니트후드후드집업티그레이,52200,29900,43,True,88.0,True
키뮤어,[2-PACK](하프집업+크루넥선택)코튼워셔블하찌니트,128000,43500,67,True,96.4,True
예일,HERITAGEDANCABLEKNITHOODIEZIP-UPIVORY,79000,55300,30,False,100.0,False
디미트리블랙,2WAY헤비웨이트케이블니트후드집업_오트밀,66000,49900,25,False,96.3,False
어반디타입,컬러블록래글런니트_버건디_KN124,59000,42900,28,True,98.0,False
제로스트릿,[2컬러]스트라이프언발란스오프숄더스웨터,89000,42000,53,True,94.0,True
수아레,데일리라운드니트-8COLOR,59000,35900,40,True,98.3,True
예일,WOMENSHERITAGEDANCABLEKNITHOODIEZIP-UPIVORY,69000,49000,29,True,100.0,False
굿라이프웍스,카라케이블니트집업블랙,74800,59800,21,False,99.0,False
어반디타입,UB베이직니트후드집업_그레이_KN122,69000,41900,40,True,100.0,True
슈퍼서브,4/2배송THUNDER브러쉬드니트-핑크,74000,66000,11,False,98.0,False
디스이즈네버댓,ChainZipUpPoloBrown,129000,64500,50,False,100.0,True
수아레,3/29배송[리뉴얼]하찌카라투웨이집업니트-4COLOR,79000,49900,37,False,97.8,True
키뮤어,코튼워셔블하찌벌키크루넥니트,59000,39900,33,True,97.2,False
팔렛,4/3배송플로잉리본니트네이비,109000,87200,20,False,90.0,False
모아,10일지연크롭홀터넥레이어드니트(BEIGE),99000,59000,41,False,100.0,True
썸플레이스,SOME그래픽오버핏풀오버니트티셔츠[네이비],86000,34200,61,True,98.0,True
아르덴티벨로나,3/19배송이태리코튼니트_오트밀,42000,33600,20,True,80.0,False
프라이,T.G.I.F자카드니트(LIGHTGREY),73000,73000,0,False,97.0,False
더엣지,[3pack]23FW어텀스퀘어넥니트,79900,39900,51,True,100.0,True
구빈,웨이브로고니트후드-카키,59500,53550,10,False,97.5,False
프라이,코튼블렌디드슬로건니트(LIGHTGREY),69000,69000,0,False,92.0,False
지오다노,[한소희착용]353907여14GG케이블폴로넥스웨터_5color,49800,25000,50,True,95.0,True
어센트시티,SIDETIEKNITVEST(WARMGRAY),69000,19900,72,True,100.0,True
오디에르,3/25배송메탈슬리브리스-스카이블루,32900,32900,0,True,96.7,False
디미트리블랙,크롭헤어리라운드니트_핑크,55000,39900,28,True,96.6,False
클로엣,BulkyZip-UpKnit+4Colors,149000,25900,83,True,100.0,True
밀리언코르,[5404]로고자수니트집업(아이보리),59000,53100,10,False,96.0,False
노매뉴얼,CROPPEDHAIRYKNIT-GRASSGREEN,109000,79570,27,False,96.0,False
세컨모놀로그,3/22배송헤비웨이트키홀케이블하프집업니트스카이블루COOSKT042SKYBLUE,149000,89800,40,False,100.0,True
