브랜드명,상품명,원가,정가,할인율(%)
HAZZYS LADIES,[SET-UP] 그레이 FINE WOOL 라운드넥 반팔 스웨터,"189,000","183,330",3.0
DAKS LADIES,[D-GIFT] 핑크 짜임 린넨혼방 여름 카라 반팔니트,"295,000","265,500",10.0
MONGDOL,[4color] 라운드 넥 골지 니트 MDKT062,"48,000","28,560",41.0
MONGDOL,[4color] 스퀘어 넥 골지 니트 MDKT063,"48,000","28,560",41.0
ATHE VANESSABRUNO WOMEN,다크그레이 울혼방 후드 크롭 니트,"438,000","394,200",10.0
HAZZYS LADIES,차콜그레이 펄장식 반팔니트,"189,000","161,590",15.0
HAZZYS LADIES,[아이코닉] 베이지 베이비케이블 반팔 카라 스웨터,"239,000","204,340",15.0
VANESSABRUNO,오프화이트 짜임패턴 긴팔니트,,"458,000",
HAZZYS LADIES,[CITY ESSENTIAL] 아이보리 메리노울 풀오버,"179,000","153,040",15.0
DAKS LADIES,[D-GIFT] 옐로우 짜임 린넨혼방 여름 카라 반팔니트,"295,000","265,500",10.0
HAZZYS LADIES,[Premium] 라이트그레이 캐시미어 100% 브이넥 풀오버,"359,000","243,760",33.0
JILLSTUART NEW YORK WOMEN,핑크 펄 알파카 혼방 니트,"379,000","349,250",8.0
DAKS LADIES,아이보리 모던 SUMMER 스트라이프 면혼방 니트,"425,000","344,250",19.0
VINCE WOMEN,블랙 패턴 면 니트,,"639,000",
HAZZYS LADIES,[SET-UP] 베이지 스트라이프 버튼장식 반팔 스웨터,"199,000","193,030",3.0
HAZZYS LADIES,[HARRY] 그레이 변형 케이블 반팔 스웨터,"169,000","144,490",15.0
HAZZYS LADIES,[아이코닉] 네이비스트라이프 케이블 반팔 스웨터,"219,000","212,430",3.0
JILLSTUART NEW YORK WOMEN,[뉴시즌] 네이비 라운드넥 5부 소매 골지 니트,"159,000","151,050",5.0
HAZZYS LADIES,[HARRY]라이트베이지 하프넥 울100% 풀오버,"199,000","135,120",33.0
ATHE VANESSABRUNO WOMEN,라이트블루 글리터 긴팔 니트,"538,000","484,200",10.0
JILLSTUART NEW YORK WOMEN,[뉴시즌] 아이보리 라운드넥 5부 소매 골지 니트,"159,000","151,050",5.0
VINCE WOMEN,화이트 패턴 면 니트,,"639,000",
HAZZYS LADIES,[SET-UP] 블랙 스트라이프 버튼장식 반팔 스웨터,"199,000","193,030",3.0
DUNST,PETIT HALF SLEEVES KNIT TOP IVORY_UDSW4A207IV,"79,000","65,290",18.0
HAZZYS LADIES,바이올렛 변형 스트라이프 칠부소매 스웨터,"189,000","161,590",15.0
NONLOCAL,컷 아웃 니트 탑 - 그레이,,"98,000",
JILLSTUART NEW YORK WOMEN,[뉴시즌] 블랙 터틀넥 골지 반팔 니트,"279,000","257,100",8.0
HAZZYS LADIES,베이지 FINE WOOL 브이넥 스웨터,"199,000","170,140",15.0
DUNST,[S-XL size 3/20 예약배송] UNISEX BUTTONED CREWNECK SWEATER MIST GREY_UDSW4A107G2,"99,000","81,820",18.0
DUNST,UNISEX BUTTONED CREWNECK SWEATER NAVY_UDSW4A107N2,"99,000","81,820",18.0
